"id","rating","review"
553772,5,"Unite oil is the best thing I have found for dry graying hair.  I soak it in my hair at night, when I know Im going to wash it the next morning. And best of all I slab it into my hair when Im going to play tennis, slap on my tennis cap and give myself a two hour hot oil treatment while Im running around the courts. It works the best for keeping my hair soft, smooth and less brittle!  And hopefully it will quit falling out!!"
34775,1,"I was not impressed. It didn't do anything, other than smelling amazing, for removing my makeup. I wear waterproof mascara and my coconut oil worked better at removing it. I would skip this one. I'm returning it to get some money back. It's like floral water - refreshing but does nothing."
441347,3,"I guess it is OK.  I just have to motivate myself to use it as total time to use the Nuface with attachments takes 35-40 minutes.  I guess I should think I actually save time and money instead of having a facial."
184436,5,"I really enjoyed this product - it does exactly what it says. The tingle initially feels a little unsettling, but you get used to it rather quickly and the peel really makes your skin feel smooth!"
56098,5,"Got here on time and he loves the boss!!"
53617,5,"I've always loved this cologne! Over the last 4 years I've bought this cologne for my boyfriend and it's still his favorite one. It's super long lasting and it's not a overbearing scent. He put two squirts of his cologne on in the morning, then worked on his truck and played football all day... And that night you could still smell it on him. I'll always purchase this cologne."
150805,5,"I love it! I have very sensitive skin so it tends to dry the skin around the blemish out, but it does reduce the size overnight."
411893,5,"I'm always been a biolage girl..love it!"
175584,1,"It has too much oil and the skin feels extremely greasy.."
381704,5,"Perfect!"
386255,4,"I started using Grandelash MD after I had lash extension. Though I don't have a lot of lashes to begin with, they definitely are fuller after about a month of using this. I will continue to use for a fuller lash. Upper photo is Before, lower photo is After."
171242,4,"This doesn't work as well as TNS essential serum or Recovery Complex for getting rid of wrinkles, but pretty close. It smooths wrinkles out a bit and gives your face UV protection at the same time along with adding the same color tone to your whole face. I used to use TNS essential serum, TNS Recovery Complex, TNS Dermal Repai, and TNS Retinol. It was to much time. Now I just use this and almost get very close to the same great result in a fraction of the time. I've repurchased it several times and will continue to."
346203,5,"I've loved!"
482233,2,"Liked product but ran out of gel before cream and whole tube does not last long enough for high price. Need to lower this price or increase the value"
498480,5,"It works!"
334071,5,"After a year of using soap from the drugstore, I broke down and spent a bit more on this, and I'm so glad I did. It foams great, brushes on well, shave smoothly, and smells wonderful. It also leaves a bit of a tingle as an added bonus."
353606,5,"Lightweight but effective cleanser. Can easily remove any make up without blocking the pores. Great product for oil or combination skin."
228735,5,"Love it!"
286613,5,"Light and has a slight astringent to it."
14571,4,"I use this as a moisturizer on my face and enjoy it because it is tinted and I don't want to wear makeup. I have to use more than most women because my skin is dry but at the end of the day my skin still feels moist. Those little red bumps that pop up with other creams don't happen with this. The price is hefty but so is skin creams from Macy's."
311552,5,"I love this cologne....smell great and the bottle is big. Very happy with my purchase"
116451,5,"Perfect!"
28798,5,"Most amazing polishes I've ever worn!! Pair this with the zoya top coat and my nails stay painted longer than they ever have with other polishes. I'm absolutely amazed, I'll never use another base and top coat."
185201,5,"Have used this for years love it"
92859,5,"Soothing; like moisturizing your face with yogurt.  I don't know if it does anything unique but it feels nice and works well.  Seems to calm sensitive and irritated skin."
475804,1,"It has a horrible chemical smell and it  faded black in the light"
467300,5,"By far, this is the only product that can keep my skin healthy and acne-free."
403203,5,"Love this lipstick.  Stays on for hours."
530570,5,"Great product!!!"
416891,4,"This is an excellent moisturizer if you are looking for shear coverage. It doesn't have a lot of cover at all. I was out in the sun all day, had EltaMD on, my whole body burned besides my face. I think that says a lot about the SPF they use. It protects your face from the dangers of the sun's rays. The EltaMD has a dewy look too. I would suggest anyone this product, it really is light and does a great job!"
94975,5,"I love this product. I had no intentions if it working as well as it does, because my hair is so damaged, but it has honestly helped bring it back to life and make it more manageable, soft, and shiny."
201019,2,"Didn't live up to the hype as far as I'm concerned.  A tad greasy and too thick.  Results weren't noticeable."
198372,5,"Love this stuff. I heard raves about EltaMD but had never tried it. Due to pregnancy, I can't use the daily SPF moisturizer I usually use (cetaphil daily spf) but I wanted something safe that wouldn't aggravate my sensitive skin and would keep it supple. This works for that reason. I keep getting told I look younger lately."
244358,3,"Not quite what I thought it would be,  it stayed on almost a week which is better that most polishes but had to touch up around 5 days."
296591,5,"All i can say is that i love it. Great fragrance , great price. I live in Dominican Rep and they wanted to charge almost twice its worth for a 50ml bottle at a perfume store. It smells great, lasts long ,soft. I have 6 men fragrances, 3 for when I am going to work, run errands , regular use, and 3 for special occasions, Date, party, restaurant, interviews ect, and Montbblanc is my top choice. I strongly recommend it"
259249,5,"This sunscreen is very light and non-irritating. Best hypoallergenic face lotion tried to date. I would buy this product again."
181150,5,"Love it!! I have used Hot tools before and have always loved it. This one is also one of the fine pieces!! :)"
98092,4,"very good"
132139,5,"Does a great job of creating a hair line and hiding the gray."
192335,5,"Wouldn't be with out it.  It is great for my fine hair.
Love the way it makes my hair feel"
538208,5,"Effective product, but I ordered the mask instead of the gel, grrr! Beware of what you buy lol"
485720,4,"Very good shampoo to reduce loosed hair."
307699,3,"It's ok, but not the best for fine hair."
468678,5,"I bought this product for my husband. He tried cheap brands like Axe, and Got2Be  all fails. Then we looked online at youtube videos.. and recommendations, and bout Suavecito, Viking, and Reuzel. Reuzel held up the hair all day and it did not get crusty. It also is water soluble and washes out with easy."
107781,5,"Great product, just too big of a barrel for my hair. I ended up ordering the next size down. My hair would not hold this size of curl"
474496,5,"Arrived quickly, seems to be the real thing not a knockoff, smells amazing if you're a guy considering a good cologne, i went to sephora and smelled every guy cologne and this was by far my favorite so im buying for my boyfriend. Has an earthy woody smell not to overpowering, at sephora the regular bottle or smaller bottle is like $80 this one is double the size half the price!"
166069,4,"Looks ok on your head."
526474,5,"Not for my skin"
107146,5,"The best ever for my girls' hair!"
